cmpnd_abbrev,IUPAC,SMILES,MW,ALogP,ALogp2,AMR,apol,naAromAtom,nAromBond,nAtom,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,BCUTw.1l,BCUTw.1h,BCUTc.1l,BCUTc.1h,BCUTp.1l,BCUTp.1h,bpol,nB,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,SCH.5,SCH.6,SCH.7,VCH.5,VCH.6,VCH.7,SC.3,SC.4,SC.5,SC.6,VC.3,VC.4,VC.5,VC.6,SPC.4,SPC.5,SPC.6,VPC.4,VPC.5,VPC.6,SP.0,SP.1,SP.2,SP.3,SP.4,SP.5,SP.6,SP.7,VP.0,VP.1,VP.2,VP.3,VP.4,VP.5,VP.6,VP.7,ECCEN,FMF,fragC,nHBAcc,nHBDon,HybRatio,MolIP,Kier1,Kier2,Kier3,khs.sCH3,khs.ssCH2,khs.tCH,khs.aaCH,khs.sssCH,khs.tsC,khs.dssC,khs.aasC,khs.ssssC,khs.ssNH,khs.dsN,khs.aaN,khs.ddsN,khs.dO,khs.ssO,khs.aaO,khs.ssS,khs.sCl,nAtomLC,nAtomP,nAtomLAC,MDEC.11,MDEC.12,MDEC.13,MDEC.14,MDEC.22,MDEC.23,MDEC.24,MDEC.33,MDEC.34,MDEO.11,MDEO.12,MDEO.22,MDEN.12,MDEN.13,MDEN.22,MDEN.23,MLogP,PetitjeanNumber,topoShape,nRotB,LipinskiFailures,TopoPSA,VABC,VAdjMat,MW2,WTPT.1,WTPT.2,WTPT.3,WTPT.4,WTPT.5,WPATH,WPOL,XLogP,Zagreb,MW1,Ncharges,C,H,N,O,S,Cl,R2NH,RCOOR,ROR,RCCH,RINGS,AROMATIC
biotin,"4-nitrophenyl 5-((3aS,4S,6aR)-2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoate",O=[N+](C1=CC=C(OC(CCCC[C@H]2[C@]([H])([C@]([H])(CS2)N3)NC3=O)=O)C=C1)[O-],349.27711999999997,1.3004999999999995,1.6913002499999987,79.66389999999998,51.03906699999999,6,6,44,0.5570905687265408,-0.3315914019603972,0.13507158365811142,-0.008040646002486813,-0.10912556994543994,36.08003911998418,33.60577117767168,48.01484064202859,43.3806171609577,34.491127957105505,1549.0943368557816,1791.4932878560903,2422.539220391985,2013.758808836641,1542.9317027383406,11.849999999999977,31.972072283348176,-0.2781836341205339,0.27293183401119914,3.6510419094303437,11.527046626209822,29.458932999999995,27,0,0,1,6,0,1,7,0,0,0.19245008972987526,0.5072794607297352,0.6676161873228212,0.20833333333333331,0.3828249638438705,0.4785834722250905,1.7508905112428452,0,0.30274943015462097,0,0.7986004230061055,0,0.11735402420532191,0,3.492488909719574,5.070593125150085,5.758935772322839,1.826479953456963,2.8418353934423655,2.871481176012383,17.811190308942127,12.024877143252588,10.988093986495853,8.590660044562282,7.031641864632304,5.1191773353218855,3.408066845568254,2.3697648467453374,14.14183060469371,9.267291403510011,7.402166900525705,5.888032295896109,4.637654912557228,3.0404353674842466,1.909300773986646,1.224351260252144,675,0.7142857142857143,1516.09,4,2,0.5,6.730184053259739,19.753086419753085,9.273922571219869,5.489603024574669,0,5,0,4,3,0,2,2,0,2,0,0,1,3,1,0,1,0,6,12,5,0,0,0,0,9.057987187932723,14.804126738975672,0,4.514605330877862,0,0.7226193629992471,0.7721947901921795,0,0,0,0.4999999999999999,0.1482498633322202,2.2299999999999995,0.5,1,8,0,135.87,316.9545225923729,5.754887502163469,365.10454183599995,50.674569106458364,2.0269827642583347,25.208087901599747,12.958263066062905,9.145446103368496,1901,33,2.2419999999999995,128,349.27711999999997,2,16,3,3,5,1,0,2,1,0,0,3,1
benzoate,4-nitrophenyl benzoate,C1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)[N+](=O)[O-],234.14339999999999,3.9076999999999993,15.270119289999995,61.0921,33.189137,12,12,27,0.3050924126452603,-0.15946398964698383,0.05370515816253875,-0.018516680822009777,-0.040389675714791226,21.457856443440264,21.26938105871137,28.87385380023817,27.985375614819095,22.81919368163865,880.1143835137342,990.6687576273911,1270.3238189037365,1169.9217955957565,886.9053181412048,11.99899999999999,16.00167953365701,-0.27425614588304476,0.29830197969651057,3.655104418956296,8.705013578889059,13.968862999999997,19,0,0,1,11,1,0,0,0,0,0,0.1853954059492991,0.16596365263022675,0,0.05985279273275698,0.04701959280111212,1.106493072294114,0,0.2845177968644246,0,0.3108925119417351,0,0.013888888888888888,0,2.4366025333936796,2.9864546174981124,3.5026794159809693,0.5299956792989673,0.5498291615149126,0.5325388677421447,12.957819157813606,8.66470379794645,7.635898774349348,5.993906705242547,4.5120368312745365,3.421256480362258,2.031344029017952,1.3458377368146006,9.128004075284771,5.236651768452759,3.543833073122454,2.3100586985931164,1.393919408062491,0.894671100896491,0.35962636531448877,0.17941955119467418,320,0.7777777777777778,478.05,1,0,0,1.2906943793799641,14.409972299168976,6.9632,4.266666666666667,0,0,0,9,0,0,1,3,0,0,0,0,1,2,1,0,0,0,3,18,0,0,0,0,0,10.268575222858859,12.110607943532935,0,2.102578844744821,0,0.5952753944880748,0.7211247851537042,0,0,0,0,0,2.34,0.45454545454545453,0.8333333333333334,4,0,69.44,211.95733883947824,5.247927513443585,243.05315784,36.12198118319303,2.006776732399613,13.488015799411343,10.456902816234928,3.0311129831764174,680,24,3.4160000000000004,88,234.14339999999999,2,13,0,1,4,0,0,0,1,0,0,2,2
dodecanoate,4-nitrophenyl dodecanoate,O=[N+](C1=CC=C(OC(CCCCCCCCCCC)=O)C=C1)[O-],294.19689999999997,-0.19949999999999934,0.03980024999999974,70.39020000000001,53.99141099999998,6,6,50,0.30116365333790746,-0.14149937703747884,0.03458663314582745,-0.017007690522889564,-0.040802371797769715,26.457856443440264,25.269381058711367,30.873853800238166,29.321191660553968,26.155009727373525,1103.719172930919,1160.5914988311913,1323.7071350318804,1249.9597808389924,1075.9096322042226,11.849999999999993,15.997934807741549,-0.2781120142944803,0.2665666027855187,3.6500830950066936,8.20221840128022,33.64658899999999,23,0,0,1,6,0,1,10,0,0,0,0.08333333333333333,0.10703808753134778,0,0.027777777777777776,0.030982085323622514,0.9927992798267444,0,0.16666666666666666,0,0.2448180770406141,0,0,0,1.81775719121105,2.158624778316723,2.3626507964007732,0.36791284614035646,0.3863904849385011,0.3768129287257717,16.91600279455672,11.1302289553358,8.982798768664887,6.370399655687784,4.580947108106591,3.262422471478438,2.185088358365221,1.442509633024137,13.81232054120212,8.636628337709622,5.840785783447089,3.8061593483115237,2.4161947705426488,1.5673648669078877,0.9054521197469236,0.5456227237590446,631,0.2608695652173913,1994.05,1,0,0.6111111111111112,8.280408077293005,21.043478260869566,13.308641975308642,10.463733650416172,1,10,0,4,0,0,1,2,0,0,0,0,1,2,1,0,0,0,13,12,12,0,2.2173176794630263,0.22766830873686364,0,19.952719843840665,8.882071612114341,0,0.9654893846056297,0,0.5952753944880748,0.7211247851537042,0,0,0,0,0,2.8899999999999997,0.5,1,13,2,69.44,329.60309677201184,5.523561956057013,321.19400856,45.24316169304883,1.9670939866542971,13.443378449721779,10.412676494343891,3.030701955377885,1700,26,7.072999999999999,100,294.19689999999997,2,18,0,1,4,0,0,0,1,0,0,1,1
TMA,4-nitrophenyl pivalate,O=[N+](C1=CC=C(OC(C(C)(C)C)=O)C=C1)[O-],210.122,3.8625999999999996,14.919678759999996,52.864700000000006,32.336309,6,6,29,0.29762889146367827,-0.1446718504716632,0.04997852882248434,-0.029804718400176042,-0.03949465395495221,19.457856443440264,18.269381058711367,26.873853800238166,25.64955956908422,17.490825773108394,754.6450524696278,837.4152970341034,1104.7152212755166,954.6354410555418,699.8661364731447,11.850000000000001,15.997927747470857,-0.2776788409205253,0.2719608086532218,3.6550071965504194,8.84613504152946,18.341691,16,0,0,1,6,0,3,0,0,1,0,0.08333333333333333,0.10703808753134778,0,0.027777777777777776,0.030982085323622514,2.274273694248302,0.2886751345948129,0.7790391023624613,0.20412414523193154,1.4775591786084017,0.25,0.125,0.041666666666666664,3.6555877846862375,3.002898779871547,3.4921032732058115,1.0549891659533783,0.7388012777756144,0.6969237770658718,12.344934982691242,7.3035490182802025,7.52759776787639,4.99950514304716,2.9441543231666913,2.3133685271835533,1.490877229836494,0.8839391544646255,9.24125272933664,4.825968165929799,4.427807669338016,1.9129398055447562,0.9138513358469326,0.6428126581598925,0.2860432266480254,0.12791844097243682,222,0.375,601.05,1,0,0.36363636363636365,8.208699824992596,14.0625,5.55765595463138,4.423611111111111,3,0,0,4,0,0,1,2,1,0,0,0,1,2,1,0,0,0,4,12,3,1.5000000000000004,2.1908902300206643,2.352410813586196,3,3.3019272488946267,6.294690380529889,0.894427190999916,0.9654893846056297,1.1447142425533319,0.5952753944880748,0.7211247851537042,0,0,0,0,0,2.12,0.4444444444444444,0.8,4,0,69.44,208.53120439094494,5,223.084458,30.849397360968204,1.9280873350605128,13.348278402403798,10.318452143351102,3.0298262590526943,480,21,2.446,78,210.122,2,11,0,1,4,0,0,0,1,0,0,1,1
7Ph heptanoate,4-nitrophenyl 7-phenylheptanoate,O=[N+](C1=CC=C(OC(CCCCCCC2=CC=CC=C2)=O)C=C1)[O-],306.2076,2.9258000000000015,8.560305640000008,80.396,51.75065299999998,12,12,45,0.302414768349664,-0.14176385202882189,0.03430471949479025,-0.016967260695781368,-0.03998711463952765,27.457856443440264,27.269381058711367,34.873853800238166,32.32119166055397,27.155009727373525,1227.0470581792324,1334.267343784719,1606.5324552513882,1473.7597878799384,1183.7022473222712,11.850000000000016,15.997935818378027,-0.27811510434101644,0.26657049811003136,3.65017123348166,8.757559714780998,27.087346999999994,25,0,0,1,11,1,0,6,0,0,0,0.1853954059492991,0.17920687118005102,0,0.05985279273275698,0.05366254590494823,1.196923425058676,0,0.16666666666666666,0,0.36266920723837204,0,0,0,2.250769893103269,2.770997214012518,3.012169849239103,0.5873289429616442,0.6593922251000757,0.6327983750172741,17.200459844932894,11.647867045540842,9.86129618564049,7.353963572181895,5.532667829785559,4.116576865421288,2.500391587907684,1.667567278814331,13.370644762404059,8.1937585496393055,5.662170780727481,3.760882449687188,2.43288937243039,1.608407771481385,0.8437519935651333,0.5073557984875166,662,0.8333333333333334,1564.05,1,0,0.3157894736842105,6.016833071817315,20.3136,11.583766909469302,8.297142857142857,0,6,0,9,0,0,1,3,0,0,0,0,1,2,1,0,0,0,8,12,7,0,0,0,0,22.25452263928124,13.107217463304805,0,1.1277445630717942,0,0.5952753944880748,0.7211247851537042,0,0,0,0,0,3,0.47058823529411764,0.8888888888888888,10,1,69.44,315.73324659467863,5.643856189774724,327.1470583199999,48.123213978761186,2.005133915781716,13.444307076332406,10.413596570013347,3.03071050631906,1837,29,5.672999999999997,112,306.2076,2,19,0,1,4,0,0,0,1,0,0,2,2
heptynoate,4-nitrophenyl hept-6-ynoate,O=[N+](C1=CC=C(OC(CCCCC#C)=O)C=C1)[O-],234.14339999999999,2.5925000000000002,6.721056250000001,56.739900000000006,35.856309,6,6,31,0.3136760406211152,-0.14498502574819752,0.03488751767730598,-0.0073359103250031435,-0.03481547934068698,21.457856443440264,20.269381058711367,25.873853800238166,24.321191660553968,21.155009727373525,788.3518096626213,847.9491344057291,1013.2150537139893,939.9622427407338,765.2124184399626,11.849999999999982,15.997929762161858,-0.2780968006750478,0.26654893768771576,3.6496600641230015,8.188660432979635,18.341690999999997,18,1,1,1,6,0,0,4,0,0,0,0.08333333333333333,0.10703808753134778,0,0.027777777777777776,0.030982085323622514,0.9927992798267444,0,0.16666666666666666,0,0.2448180770406141,0,0,0,1.81775719121105,2.1586247783167227,2.3626507964007732,0.36791284614035646,0.3863904849385011,0.3768129287257717,13.380468888623982,8.6302289553358,7.215031815698517,5.120399655687785,3.697063631623406,2.6374224714784376,1.73642825673921,1.1666212853758182,9.647030123272458,5.57175008171116,3.6735895851193767,2.2737202203122937,1.3325966713787936,0.8118686076116354,0.37934537363728094,0.19868751169284343,351,0.3333333333333333,655.05,1,0,0.36363636363636365,8.286580751482989,16.055555555555557,8.991735537190083,6.666666666666667,0,4,1,4,0,1,1,2,0,0,0,0,1,2,1,0,0,0,8,12,7,0,1.9451193659245432,0.37117320236996454,0,9.998307046526532,8.66753076811946,0,0.9654893846056297,0,0.5952753944880748,0.7211247851537042,0,0,0,0,0,2.34,0.46153846153846156,0.8571428571428571,7,0,69.44,237.8502562410783,5.169925001442312,247.084458,35.24336702277134,1.9579648345984078,13.436098491704104,10.405463571334753,3.0306349203693506,760,21,3.093,80,234.14339999999999,2,13,0,1,4,0,0,0,1,0,1,1,1
ClPh propionate,4-nitrophenyl 3-(4-chlorophenoxy)propanoate,O=[N+](C1=CC=C(OC(CCOC2=CC=C(Cl)C=C2)=O)C=C1)[O-],309.6172,4.983300000000001,24.833278890000006,74.4784,41.691515999999986,12,12,34,0.48061751749219783,-0.199121252047533,0.017128095637187,-0.1764386634946659,0.15291685974786295,33.94527538682999,27.88533565241459,38.77367101051205,36.221008870827845,28.323626460760945,1092.8529200657713,1210.0915467052064,1518.0549538482546,1367.8618716368671,1028.5601933289731,11.849999999999987,34.96885364573005,-0.3449700842216706,0.2688567922510902,3.649301722392369,8.41456701812079,19.584483999999996,23,0,0,1,12,0,1,1,0,0,0,0.16666666666666666,0.2492969859635601,0,0.05555555555555555,0.07381935503172098,1.4855985596534889,0,0.16666666666666666,0,0.5018416952892049,0,0,0,2.6590181835671323,3.113579563140175,3.5674052467743693,0.7128106789406563,0.6975814888527125,0.7027665423032731,15.94938298937633,10.541713895658194,9.422497826793014,7.014647174704854,5.150266017531441,3.9888971932065185,2.5385779361809555,1.5572168347385968,12.007009077959786,6.8106347509095775,4.751176302333728,2.96223415694381,1.7452223952590102,1.1688438256295677,0.5436813824966084,0.25993639962060194,528,0.7727272727272727,763.07,1,0,0.13333333333333333,-3.446804934573686,18.340264650283554,9.333333333333334,6.57439446366782,0,2,0,8,0,0,1,4,0,0,0,0,1,2,2,0,0,1,5,12,3,0,0,0,0,10.374717774557276,13.810582205230121,0,1.9198981688476298,0,0.5952753944880748,1.0837251922653914,0.25,0,0,0,0,2.34,0.4666666666666667,0.875,7,0,78.67,270.55060256220617,5.523561956057013,321.04040025999996,43.98092190992351,1.9991328140874323,19.021894548841086,13.4730749688358,3.0307582107422517,1336,28,3.878000000000001,106,309.6172,2,15,0,1,5,0,1,0,1,1,0,2,2
butoxy,4-nitrophenyl 2-(2-butoxyethoxy)acetate,O=C(OC1=CC=C([N+]([O-])=O)C=C1)COCCOCCCC,278.1529,1.3065000000000027,1.7069422500000069,67.39659999999999,43.22106699999999,6,6,40,0.6860146998780683,-0.32813260496368474,-0.21193306188118605,0.43274685399562485,-0.2336977879820225,26.006794514522156,24.597748967241625,30.202221708768427,29.312506790044242,25.48337763590378,865.6772903600889,920.6245149152239,1078.0879478345591,1003.8103066506046,831.7270281468186,11.890000000000008,15.999938799327676,-0.37843892220218145,0.29262684315442333,3.6465951390838423,8.090615983821353,28.732932999999996,21,0,0,1,6,0,5,2,0,0,0,0.08333333333333333,0.10703808753134778,0,0.027777777777777776,0.030982085323622514,0.9927992798267444,0,0.16666666666666666,0,0.2448180770406141,0,0,0,1.8177571912110497,2.1586247783167227,2.362650796400773,0.3503024406899243,0.3651328450998398,0.344424717196973,15.501789232183626,10.1302289553358,8.275691987478337,5.870399655687786,4.227393717513317,3.0124224714784376,2.0083116630685844,1.3175096330241365,11.800389997383654,6.791328876088873,4.280870342751236,2.555855313119639,1.4364437374160102,0.8809343558753784,0.4254405206333636,0.21470966060364857,509,0.2857142857142857,1180.07,3,0,0.5,8.327036444231325,19.047619047619047,11.552,8.88888888888889,1,6,0,4,0,0,1,2,0,0,0,0,1,2,3,0,0,0,11,12,4,0,1.760106031291051,0.26907097016115344,0,9.848243346183299,7.741087092155526,0,0.9654893846056297,0,0.5952753944880748,1.433922117634463,0.7937005259840998,0,0,0,0,2.23,0.5,1,11,1,87.9,277.99961166966705,5.392317422778761,297.12123748000005,41.243181563667136,1.9639610268412921,19.394972945446412,16.364277477327416,3.030695468118995,1262,24,2.341,92,278.1529,2,14,0,1,6,0,0,0,1,2,0,1,1
azido,4-nitrophenyl 6-azidohexanoate,O=C(OC1=CC=C([N+]([O-])=O)C=C1)CCCCCN=[N+]=[N-],264.1528,-1.2018999999999995,1.4445636099999988,56.54730000000001,38.06310200000001,6,6,34,0.34929467101261635,-0.15626006127604125,0.027459034503827206,-0.013495943649243792,-0.021221826453084992,24.537797347269702,23.155523594444777,28.566197967875542,26.819737460095308,23.653555526914865,851.1282641657533,914.6004859207478,1084.4444585460792,1016.0413043069684,844.134438804495,11.99899999999999,15.99793521410051,-0.2781026861375666,0.2665742847825716,3.4162531317135283,8.194747479386388,20.094897999999997,20,0,0,1,6,0,1,4,0,0,0,0.08333333333333333,0.10703808753134778,0,0.027777777777777776,0.030982085323622514,0.9927992798267444,0,0.16666666666666666,0,0.2448180770406141,0,0,0,1.8177571912110497,2.1586247783167227,2.362650796400773,0.3679128461403565,0.3863904849385011,0.3768129287257717,14.794682450997078,9.6302289553358,7.922138596885065,5.620399655687786,4.05061702221668,2.887422471478437,1.919923315420266,1.2550096330241363,10.431107011955886,6.06197708855675,4.020232425980677,2.518833723735088,1.5059180918094435,0.9237020546196696,0.4598288993432492,0.2347348769157266,453,0.3,776.08,3,0,0.4166666666666667,8.284181737770872,18.05,10.6875,8.14792899408284,0,5,0,4,0,0,1,2,0,0,1,0,1,2,1,0,0,0,10,12,6,0,0,0,0,9.998307046526532,8.66753076811946,0,0.9654893846056297,0,0.5952753944880748,0.7211247851537042,0,1.4142135623730951,0.07142857142857142,1,0.1601281538050871,1.9000000000000004,0.4666666666666667,0.875,9,0,81.8,253.54455223971155,5.321928094887363,278.10150504000006,39.24320805782487,1.9621604028912436,21.415937657000814,10.411047769793441,11.004889887207376,1075,23,2.7310000000000003,88,264.1528,4,12,0,4,4,0,0,0,1,0,0,1,1
dimethyl,"4-nitrophenyl 2,2-dimethylhexanoate",CCCCC(C)(C)C(OC1=CC=C([N+]([O-])=O)C=C1)=O,246.1541,2.758300000000001,7.608218890000006,63.94990000000001,41.61706699999999,6,6,38,0.2976162269559389,-0.14471308917557477,0.04987043201618721,-0.029357355688037788,-0.03983578226025722,22.457856443440264,21.26938105871137,29.873853800238166,30.64955956908422,24.155009727373518,975.4186939692808,1077.7450530854294,1401.0124249242322,1321.3202618313735,1067.0022146866077,11.850000000000009,15.997930770265366,-0.2776815101339655,0.27224448117169076,3.6593046559242404,9.94644460920088,24.900932999999995,19,0,0,1,6,0,3,3,0,1,0,0.08333333333333333,0.10703808753134778,0,0.027777777777777776,0.030982085323622514,1.9587251061158129,0.20412414523193154,0.6594659464934111,0.14433756729740646,1.1846659597949492,0.17677669529663687,0.10059223176554563,0.029462782549439483,3.8458012067517124,3.8751075822495524,4.509338624624743,1.4232121259671013,1.3465303379737512,1.327352387447506,14.466255326250886,8.864209190060024,8.253706950293331,6.02983522893707,3.788428324721515,2.953324875287433,1.7555902892367388,1.0235280920175418,11.362573072896284,6.386628337709621,5.165244536414475,3.008483313500142,1.6196851975174962,1.1651797997719673,0.39575255910258983,0.17882210082606315,339,0.3157894736842105,1102.05,1,0,0.5,7.403402356145546,17.05263157894737,7.6952662721893494,5.479191438763377,3,3,0,4,0,0,1,2,1,0,0,0,1,2,1,0,0,0,7,12,6,0.814325284978472,4.959872870242769,1.919031281413854,1.8898815748423097,5.915717236042043,7.390621101058247,2.3025587483856538,0.9654893846056297,1.1447142425533319,0.5952753944880748,0.7211247851537042,0,0,0,0,0,2.45,0.5,1,7,0,69.44,260.4191582685451,5.247927513443585,265.13140824,36.82592820551846,1.9382067476588662,13.400881970015357,10.370571328965518,3.030310641049849,796,26,4.1530000000000005,90,246.1541,2,14,0,1,4,0,0,0,1,0,0,1,1
