organism,genus,family,order,class,phylum
Actinomycetospora_chiangmaiensis,Actinomycetospora,Pseudonocardiaceae,Actinomycetales,Actinobacteria,Actinobacteria
Actinoplanes_atraurantiacus,Actinoplanes,Micromonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria
Agreia bicolorata,Agreia,Microbacteriaceae,Actinomycetales,Actinobacteria,Actinobacteria
Agrococcus_casei,Agrococcus,Microbacteriaceae,Actinomycetales,Actinobacteria,Actinobacteria
Allokutzneria_albata,Allokutzneria,Pseudonocardiaceae,Actinomycetales,Actinobacteria,Actinobacteria
Anaerocolumna_xylanovorans,Anaerocolumna,Lachnospiraceae ,Clostridiales,Clostridia,Firmicutes
Arenimonas oryziterrae,Arenimonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria
Arthrobacter globiformis,Arthrobacter,Micrococcaceae,Actinomycetales,Actinobacteria,Actinobacteria
Auraticoccus_monumenti,Auraticoccus,Propionibacteriaceae,Actinomycetales,Actinobacteria,Actinobacteria
Bacillus_sp._7586-K,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Bacteriovorax_sp._BAL6_X,Bacteriovorax,Bacteriovoracaceae,Bdellovibrionales,Deltaproteobacteria,Proteobacteria
Bacteroides_luti,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
Brachybacterium paraconglomeratum,Brachybacterium,Dermabacteraceae,Actinomycetales,Actinobacteria,Actinobacteria
Brachybacterium_alimentarium,Brachybacterium,Dermabacteraceae,Actinomycetales,Actinobacteria,Actinobacteria
Brevibacterium antiquum,Brevibacterium,Brevibacteriaceae,Actinomycetales,Actinobacteria,Actinobacteria
Brevibacterium mcbrellneri,Brevibacterium,Brevibacteriaceae,Actinomycetales,Actinobacteria,Actinobacteria
Cellulomonas cellasea,Cellulomonas,Cellulomonadaceae,Actinomycetales,Actinobacteria,Actinobacteria
Cephaloticoccus_capnophilus,Cephaloticoccus,Opitutaceae ,Opitutales,Opitutae ,Verrucomicrobia 
Chlamydiales_bacterium_SCGC_AG-110-P3,Chlamydiales,Unknown,Chlamydiales,Chlamydiae,Chlamydiae
Chloroflexi bacterium RBG_13_51_36,Chloroflexi,Unknown,Unknown,Chloroflexi,Chloroflexi
Chromatocurvus halotolerans,Chromatocurvus,Unknown,Unknown,Gammaproteobacteria,Proteobacteria
Citricoccus muralis,Citricoccus,Micrococcaceae,Actinomycetales,Actinobacteria,Actinobacteria
Clavibacter michiganensis,Clavibacter,Microbacteriaceae,Actinomycetales,Actinobacteria,Actinobacteria
