filename,cmpnd,org,log_slope
output//2019-10-18/2019-10-18_dodecanoate_all_data_calculated_slopes.csv,dodecanoate,Arenimonas oryziterrae,1.8309722914770563
output//2019-10-18/2019-10-18_dodecanoate_all_data_calculated_slopes.csv,dodecanoate,Brachybacterium paraconglomeratum,1.639611902926009
output//2019-10-18/2019-10-18_dodecanoate_all_data_calculated_slopes.csv,dodecanoate,Chromatocurvus halotolerans,1.7737039300362771
output//2019-10-18/2019-10-18_dodecanoate_all_data_calculated_slopes.csv,dodecanoate,Humibacillus sp. DSM 29435,1.7383954419927334
output//2019-10-18/2019-10-18_dodecanoate_all_data_calculated_slopes.csv,dodecanoate,Kytococcus sedentarius,1.7190749753832015
output//2019-10-18/2019-10-18_dodecanoate_all_data_calculated_slopes.csv,dodecanoate,Micromonospora peucetia,1.6826162146235542
output//2019-10-18/2019-10-18_dodecanoate_all_data_calculated_slopes.csv,dodecanoate,Mobilicoccus massiliensis,1.7867431115207988
output//2019-10-18/2019-10-18_dodecanoate_all_data_calculated_slopes.csv,dodecanoate,Pseudoxanthomonas,1.628171728133958
output//2019-10-18/2019-10-18_dodecanoate_all_data_calculated_slopes.csv,dodecanoate,Thermomonas haemolytica,1.9640857129102294
output//2019-10-18/2019-10-18_dodecanoate_all_data_calculated_slopes.csv,dodecanoate,XC,1.6706366582892624
output//2019-10-18/2019-10-18_TMA_all_data_calculated_slopes.csv,TMA,Actinoplanes atraurantiacus,1.935562473881014
output//2019-10-18/2019-10-18_TMA_all_data_calculated_slopes.csv,TMA,Chromatocurvus halotolerans,0.9941820685701992
output//2019-10-18/2019-10-18_TMA_all_data_calculated_slopes.csv,TMA,Granulosicoccus antarcticus,1.4490700598053106
output//2019-10-18/2019-10-18_TMA_all_data_calculated_slopes.csv,TMA,Halobacteriovorax marinus,1.0815397390380697
output//2019-10-18/2019-10-18_TMA_all_data_calculated_slopes.csv,TMA,Kytococcus sedentarius,1.6596116937812713
output//2019-10-18/2019-10-18_TMA_all_data_calculated_slopes.csv,TMA,Mobilicoccus massiliensis,1.7518524849650416
output//2019-10-18/2019-10-18_TMA_all_data_calculated_slopes.csv,TMA,Thermomonas haemolytica,0.8093993086474703
output//2019-10-18/2019-10-18_TMA_all_data_calculated_slopes.csv,TMA,XC,1.2648237086452496
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Actinoplanes atraurantiacus,1.6985839354097092
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Arthrobacter globiformis,1.4452858569315736
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Cellulomonas cellasea,1.6336035821397903
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Chromatocurvus halotolerans,1.7326814024156563
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Clavibacter michiganensis,1.616824203209161
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Dermabacter hominis,1.8384614989751962
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Granulosicoccus antarcticus,2.0505153672999104
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Intrasporangiaceae bacterium URHB0013,1.1681116997404088
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Kineosphaera limosa,1.5281710601425185
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Kocuria varians,1.6562068039459668
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Kytococcus sedentarius,2.3436451846499287
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Micromonospora avicenniae,1.3909987931034262
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Micromonospora peucetia,1.5609095935481923
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Mobilicoccus massiliensis,1.9544329998629584
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Mycolicibacterium obuense,1.4117751710893187
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Nesterenkonia alba,1.2657250910911548
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Plantibacter sp. VKM Ac-1784,1.5267556998475484
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Pseudoxanthomonas,1.2727844584290782
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Sandaracinus amylolyticus,1.4623010922035378
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Sanguibacter keddieii,1.463634243731176
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Sediminihabitans luteus,1.574816959515765
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,7Ph heptanoate,Thermomonas haemolytica,1.7721793847336516
output//2019-10-25/2019-10-25_ClPh propionate_all_data_calculated_slopes.csv,ClPh propionate,Actinoplanes atraurantiacus,1.7206295566968401
output//2019-10-25/2019-10-25_ClPh propionate_all_data_calculated_slopes.csv,ClPh propionate,Cellulomonas cellasea,1.5522739672719343
output//2019-10-25/2019-10-25_ClPh propionate_all_data_calculated_slopes.csv,ClPh propionate,Granulosicoccus antarcticus,1.9087904339537398
output//2019-10-25/2019-10-25_ClPh propionate_all_data_calculated_slopes.csv,ClPh propionate,Humibacillus sp. DSM 29435,1.7418970344501827
output//2019-10-25/2019-10-25_ClPh propionate_all_data_calculated_slopes.csv,ClPh propionate,Kocuria varians,1.6110497486209587
output//2019-10-25/2019-10-25_ClPh propionate_all_data_calculated_slopes.csv,ClPh propionate,Kytococcus sedentarius,1.8434273649809398
output//2019-10-25/2019-10-25_ClPh propionate_all_data_calculated_slopes.csv,ClPh propionate,Mobilicoccus massiliensis,1.8881739429849496
output//2019-10-25/2019-10-25_ClPh propionate_all_data_calculated_slopes.csv,ClPh propionate,Mycolicibacterium obuense,1.6565958745957714
output//2019-10-25/2019-10-25_ClPh propionate_all_data_calculated_slopes.csv,ClPh propionate,Nesterenkonia alba,1.6943660510936054
output//2019-10-25/2019-10-25_ClPh propionate_all_data_calculated_slopes.csv,ClPh propionate,Plantibacter sp. VKM Ac-1784,1.5720484126292744
output//2019-10-25/2019-10-25_ClPh propionate_all_data_calculated_slopes.csv,ClPh propionate,XC,1.8306694054601282
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Actinomycetospora chiangmaiensis,1.598283366486443
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Actinoplanes atraurantiacus,2.217150981857935
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Agreia bicolorata,1.8392373996313183
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Anaerocolumna xylanovorans,1.479544915982714
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Arenimonas oryziterrae,2.146706633946075
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Arthrobacter globiformis,2.170722683582341
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Auraticoccus monumenti,1.440129072738726
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Bacillus sp. 7586-K,1.7702764827905204
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Bacteriovorax sp. BAL6 X,1.4246429925427244
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Brachybacterium alimentarium,1.6526623943840304
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Brachybacterium paraconglomeratum,1.646313523623347
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Brevibacterium antiquum,1.7678497101562527
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Brevibacterium mcbrellneri,1.04440526351383
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Cellulomonas cellasea,1.8027865828089311
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Chlamydiales bacterium SCGC AG-110-P3,1.9165546515576075
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Chloroflexi bacterium RBG 13 51 36,1.2485577531065948
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Chromatocurvus halotolerans,2.31272312342835
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Citricoccus muralis,1.744904069079256
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Clavibacter michiganensis,1.7937800212516548
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Dermabacter hominis,2.216080002652176
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Dermatophilus congolensis,1.8601313111785969
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Enhygromyxa salina,1.6154587123496973
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Geodermatophilus obscurus,1.705282665742161
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Granulosicoccus antarcticus,2.704452867377391
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Halobacteriovorax marinus,1.6675210607673157
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Humibacillus sp. DSM 29435,1.8327071293459105
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Intrasporangiaceae bacterium URHB0013,1.5503906198283217
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Isoptericola variabilis,1.4620852849036885
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Kineosphaera limosa,1.445956680130474
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Kocuria flava,1.6942965022282204
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Kocuria varians,2.076633804877642
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Kytococcus sedentarius,2.772956817505329
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Legionella brunensis,1.6614151667774937
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Leifsonia sp. Leaf325,2.0171954544161443
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Luteimonas tolerans,2.0623107232958002
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Microlunatus phosphovorus,1.594359016478039
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Micromonospora avicenniae,1.514897495277498
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Micromonospora peucetia,2.2669077294120625
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Mobilicoccus massiliensis,2.489168645793911
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Mycolicibacterium obuense,1.805514890960595
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Nakamurella multipartita,1.8362074447668764
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Nesterenkonia alba,1.795766949311566
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Okibacterium fritillariae,2.0742636775907064
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Paenibacillus polysaccharolyticus,1.5429503630648245
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Pelobacter propionicus DSM 2379,1.195013776934808
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Plantibacter sp. VKM Ac-1784,2.1184512845741104
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Pseudoxanthomonas,2.155341924827609
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Psychromonas aquimarina,1.5938129647000259
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Rothia mucilaginosa,1.7153663858100052
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Saccharothrix espanaensis,1.1859310260614724
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Sandaracinus amylolyticus,1.8269290489476218
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Sanguibacter keddieii,1.9614826582132066
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Sediminihabitans luteus,1.9697846482836405
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Shewanella putrefaciens,1.297301797950289
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Silanimonas lenta,1.9608351312824917
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Streptococcus pneumoniae,1.1545903514739055
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Streptomyces avermitilis,1.7984046705151948
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Subtercola sp. Z020,1.872516773447571
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Thermomonas haemolytica,2.280554197888013
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Wenzhouxiangella sediminis,1.674528742714696
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,Xanthomonas translucens,2.114978608014264
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,heptynoate,XC,2.0206122181840995
output//2019-11-01/2019-11-01_Biotin_all_data_calculated_slopes.csv,biotin,Granulosicoccus antarcticus,1.7162314099078209
output//2019-11-01/2019-11-01_Biotin_all_data_calculated_slopes.csv,biotin,Kytococcus sedentarius,1.5893343683784322
output//2019-11-01/2019-11-01_Biotin_all_data_calculated_slopes.csv,biotin,Actinoplanes atraurantiacus,1.251859254807923
output//2019-11-01/2019-11-01_Biotin_all_data_calculated_slopes.csv,biotin,Kocuria flava,1.1467376960090334
