Compound Name,Alternative Name,Primary Target 1,Primary Target 2,Primary Target 3,Primary Target Kinase Group,Measured Kd (Primary Target 1) [nM],Published biochemical Kd/Ki/IC50 (Primary Target 1) [nM],Reference,ZINC ID,SMILES
A-674563,,AKT1,,,AGC,76,11,"Mol. Cancer Ther. 4, 977 (2005)",ZINC000016052569,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12
AB-1010,Masitinib,KIT,PDGFRA/B,,TK,8.1,200,"PLoS One 4, e7258 (2009)",ZINC000034177219,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1
ABT-869,Linifanib,FLT3,CSF1R,VEGFR2,TK,0.63,4,"Mol. Cancer Ther. 5, 995 (2006)",ZINC000006718813,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1
AC220,Quizartinib,FLT3,KIT,,TK,1.3,1.6,"Blood 114, 2984 (2009)",ZINC000043204002,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1
AG-013736,Axitinib,VEGFR2,PDGFRA/B,KIT,TK,5.9,1.1,"Biochemistry 48, 7019 (2009)",ZINC000003816287,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1
AMG-706,Motesanib,VEGFR2,FLT1,FLT4,TK,2.6,3,"Cancer Res. 66, 8715 (2006)",ZINC000018710082,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21
AST-487,,FLT3,KIT,,TK,0.79,520,"Cancer Res. 67, 6956 (2007)",ZINC000023247639,CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1
AT-7519,,CDK2,CDK1,,CMGC,30,47,"Mol. Cancer Ther. 8, 324 (2009)",ZINC000016052857,O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl
AZD-1152HQPA,,AURKB,,,Other,4.6,1,"J. Med. Chem. 50, 2213 (2007)",ZINC000016697102,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)n[nH]3)ncnc2c1
AZD-2171,Cediranib,VEGFR2,PDGFRA/B,,TK,1.1,1,"Cancer Res. 65, 4389 (2005)",ZINC000003948085,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1
AZD-6244/ARRY-886,Selumetinib,MEK1,MEK2,,STE,99,12,"Mol. Cancer Ther. 6, 138 (2007)",ZINC000031773258,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21
BI-2536,,PLK1,,,Other,0.19,0.83,"Current Biol. 17, 1 (2007)",ZINC000013986815,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1
BIBF-1120 (derivative),,VEGFR2,PDGFRA/B,FGFR1/2/3,TK,2.9,not reported,"Cancer Res. 68, 4774 (2008) [BIBF-1120]",ZINC000100014909,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1
BIBW-2992,Afatinib,EGFR,ERBB2,,TK,0.25,0.5,"J. Clin. Onc. 28, 3965 (2010)",ZINC000003976838,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
BIRB-796,Doramapimod,p38-alpha,,,CMGC,0.45,0.1,"Nature Struct. Biol. 9, 268 (2002)",ZINC000024044436,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
BMS-345541,,IKK-beta,IKK-alpha,,Other,130,300,"J. Biol. Chem. 278, 1450",ZINC000001554390,Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1
BMS-387032/SNS-032,,CDK2,,,CMGC,69,48,"J. Med. Chem. 47, 1719 (2004)",ZINC000003816409,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1
BMS-540215,Brivanib,VEGFR2,FGFR1,,TK,5,25,"J. Med. Chem. 49, 2143 (2006)",ZINC000013684256,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1
CEP-701,Lestaurtinib,FLT3,TRKA/B/C,JAK2,TK,8.5,3,"Blood 99, 3885 (2002)",ZINC000003781738,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O
CHIR-258/TKI-258,Dovitinib,FLT3,FGFR3,,TK,0.64,1,"Blood 105, 2941 (2005)",ZINC000003816310,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1
CHIR-265/RAF-265,,BRAF,VEGFR2,,TKL,1200,60,"Proc. Amer. Assoc. Cancer Res. 47, 1140 (2006)",ZINC000018710085,Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21
