phosphoenolpyruvate	C=C(C(=O)O)OP(=O)(O)O
Glycerol-2-phospate	C(C(CO)OP(=O)(O)O)O
Glycerol-3-phosphate	C(C(COP(=O)(O)O)O)O
D-erythronate-4-phosphate	O[C@H](CO[P](O)(O)=O)[C@@H](O)C(O)=O
L-erythronate-4-phosphate	O[C@@H](CO[P](O)(O)=O)[C@H](O)C(O)=O
D-threonate-4-phosphate	O[C@H](CO[P](O)(O)=O)[C@H](O)C(O)=O
Pyrophosphate	O[P](O)(=O)O[P](O)(O)=O
ATP	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N
TTP	CC1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
GTP	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N
dATP	C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
Glycolic Acid O-P	C(C(=O)O)OP(=O)(O)O
Glycerol-phosphate	OC[C@@H](O)COP(O)(O)=O
DL-glyceraldehyde-3-phosphate	C(C(C=O)O)OP(=O)(O)O
dihydroxyacetone phosphate	C(C(=O)COP(=O)(O)O)O
meso-erythritol-4-phosphate	C(C(C(COP(=O)(O)O)O)O)O
D-threitol-4-phosphate	OC[C@@H](O)[C@H](O)CO[P](O)(O)=O
D-erythrose-4-phosphate	O[C@H](CO[P](O)(O)=O)[C@@H](O)C=O
imidodiphosphate (PNP)	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(NP(=O)(O)O)O)O)O)N
ADP	Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(O)=O)C(O)C3O
TDP	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)O)O
GDP	NC1=NC(=O)c2ncn(C3OC(CO[P](O)(=O)O[P](O)(O)=O)C(O)C3O)c2N1
